,trans_0,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,trans_8,trans_9,trans_10,trans_11,trans_12,trans_13,trans_14,trans_15,trans_16,trans_17,trans_18,trans_19,trans_20,trans_21,trans_22,trans_23,trans_24,trans_25,trans_26,trans_27,trans_28,trans_29,trans_30,trans_31
2008-04-11,-0.84513277,-0.62650675,-0.04902923,0.25307494,0.20573397,-0.83688265,-0.29908037,-0.50805295,0.29974902,0.56846195,-0.98082614,-0.1252101,-0.08908616,-0.40842307,-0.5135604,1.0249326,0.7580928,-0.3605945,-1.0602161,-0.075704634,0.86094046,0.60772294,0.029997185,-0.1606876,0.10230203,-0.4562107,-0.41379154,0.15197538,-0.10888797,-0.08077,-0.47381493,-0.9206991
2008-04-14,-0.82074016,-0.6440474,0.17590983,0.2207638,0.23888496,-0.8217594,-0.41412643,-0.5065233,0.45129305,0.5511318,-0.77543914,-0.21018524,-0.34467897,-0.53559583,-0.55563223,0.83941424,0.6907866,-0.44187832,-0.9420111,0.017480139,0.949551,0.5820655,0.35306814,-0.39377755,0.20322669,-0.5946198,-0.44245896,0.44072512,0.10980779,-0.34725016,-0.5030202,-0.99084544
2008-04-15,-0.80620366,-0.5228894,-0.045210183,0.18095246,0.20882118,-0.8138214,-0.350114,-0.47306228,0.47794443,0.58390325,-0.71983165,-0.21765508,-0.39195183,-0.52018005,-0.7783051,0.89041317,0.65542936,-0.5772789,-0.9227835,-0.054206446,0.88033,0.45109618,0.36155945,-0.28347576,0.21061954,-0.55317754,-0.4333112,0.40749538,0.24507634,-0.33628562,-0.6314896,-0.8126682
2008-04-16,-0.75954175,-0.50624764,-0.49746215,0.34894297,0.3045115,-0.86940217,-0.19864038,-0.47019655,0.29526368,0.6663744,-0.69144285,0.027470462,-0.22955078,-0.33769563,-0.82655275,1.1586753,0.28630885,-0.7231856,-0.8397069,-0.10402438,0.83242077,0.24163966,-0.07254619,0.17284693,0.21514407,-0.39502552,-0.35872784,0.018657811,0.1555464,-0.06398974,-0.6919374,-0.31386828
2008-04-17,-0.94878787,-0.7769924,-0.11439447,0.40334997,0.12988587,-0.6628271,-0.26387095,-0.44665316,0.3840776,0.48060918,-0.39256057,-0.12235254,-0.16923453,-0.27731788,-0.7894539,1.2947706,0.51452446,-0.4674105,-1.034092,-0.022567585,1.0270972,0.36659342,0.09292198,0.085519135,0.27585232,-0.5049321,-0.4864507,0.19483402,0.3003367,-0.29057488,-0.69598305,-0.5978322
2008-04-18,-0.8934676,-0.6272819,-0.45492792,0.32296786,0.22060333,-0.74785036,-0.23173535,-0.3914033,0.29896346,0.5995602,-0.50206935,-0.11383355,-0.20766036,-0.21852183,-0.8875304,1.3990483,0.27714032,-0.52505606,-0.8695618,0.007517107,0.8941774,0.24511789,0.049271487,0.12545605,0.2539124,-0.3116519,-0.5609742,0.053206325,0.049669188,-0.24496168,-0.6500783,-0.50254524
2008-04-21,-0.9812353,-0.8774077,-0.058271542,0.35262096,0.22533268,-0.59815943,-0.3201738,-0.44378152,0.5645576,0.53382194,-0.26679495,0.0446627,-0.29899988,-0.31368762,-0.7705535,1.1984234,0.56513464,-0.2866466,-0.91711783,0.11395861,1.048505,0.25148857,0.23157492,0.07783781,0.2781153,-0.5093285,-0.5424892,0.23329407,0.19455196,-0.35681543,-0.67134106,-0.78286874
2008-04-22,-1.1661935,-0.73520255,-0.18122108,0.26205277,0.22276735,-0.57501763,-0.2967796,-0.34867308,0.57886267,0.5510492,-0.4070729,0.050791983,-0.25052124,-0.30721402,-0.8383021,1.1655926,0.72437626,-0.19685017,-0.94715476,0.09480353,0.99485266,0.35314545,0.21385276,0.10843609,0.25363928,-0.42732665,-0.58751863,0.13614827,0.116066,-0.32835224,-0.781608,-0.7840841
2008-04-23,-1.1942974,-0.7016784,0.017439555,0.3535162,0.29108998,-0.53661215,-0.4663112,-0.4786631,0.33776525,0.46728396,-0.38066998,-0.104488805,-0.36561146,-0.35960865,-0.9557217,1.0036736,0.55250365,-0.5292228,-0.939989,0.08357913,1.0387716,0.40712476,0.30503613,0.09890668,0.36935347,-0.5203095,-0.4910469,0.17193434,0.31625944,-0.41789272,-0.9122364,-0.7777773
2008-04-24,-1.2492627,-0.5711917,-0.1442694,0.29730645,0.2681862,-0.6692916,-0.53199697,-0.46609658,0.17102757,0.49411878,-0.401312,-0.06595662,-0.3074134,-0.32037264,-1.0627612,1.1881491,0.37936527,-0.61380756,-0.8404213,0.054211363,0.9939786,0.40321946,0.21877795,0.18720178,0.3473655,-0.3252649,-0.5172406,0.02229515,0.2579203,-0.4131745,-0.9206816,-0.67719007
2008-04-25,-0.93328106,-0.6376177,-0.057180196,0.57261986,0.19847262,-0.6919134,-0.27945876,-0.68173414,0.2654901,0.42531344,-0.5033089,-0.089072496,-0.42286068,-0.25462765,-0.8394292,0.92890036,0.4983126,-0.5424636,-0.99645877,0.010670956,1.146115,0.3888927,0.050329283,0.18111052,0.2716013,-0.62625355,-0.40507174,0.17856544,0.26195428,-0.26616135,-0.7649914,-0.7458278
2008-04-28,-0.92569184,-0.79908717,0.14036462,0.6061319,0.17396066,-0.5800875,-0.23501584,-0.6748976,0.41578156,0.34670216,-0.3850848,-0.043219134,-0.408875,-0.25171518,-0.7164579,0.91585946,0.56713885,-0.4218359,-1.0454129,0.049129993,1.1890342,0.38176844,0.11371105,0.1412357,0.29132462,-0.744447,-0.40188032,0.29457402,0.2570632,-0.30931652,-0.7077514,-0.85464406
2008-04-29,-1.0048549,-0.78043807,0.16462713,0.63706446,0.13859098,-0.6749243,-0.34273905,-0.7236379,0.3885689,0.35588217,-0.46579802,-0.011272095,-0.33263004,-0.31562096,-0.6269771,0.9712883,0.5849576,-0.35005176,-1.0558512,0.077266835,1.1882075,0.43836072,0.058788694,0.15157516,0.25891265,-0.66068155,-0.41517967,0.30370986,0.20576842,-0.32154354,-0.7609283,-0.93543935
2008-04-30,-1.1876327,-0.61222035,0.24918447,0.44460684,0.26327062,-0.7316188,-0.6720359,-0.707229,0.15409598,0.3767839,-0.56681466,0.10156373,-0.2831465,-0.46101114,-0.82751864,0.98611283,0.45661283,-0.5661328,-0.95261216,0.07728718,1.0881944,0.46511355,0.13606328,0.1593375,0.25314033,-0.44006225,-0.33156604,0.17214553,0.23942512,-0.43980166,-0.89563,-0.94232035
2008-05-01,-0.9773749,-0.4524043,-0.21042985,0.5316528,0.39753133,-0.557433,-0.3100484,-0.4670633,0.13134599,0.37445807,-0.5910636,0.10791245,-0.26609236,-0.2175744,-0.99602085,1.0037209,0.0753205,-0.79670113,-0.968225,-0.002044931,0.9400604,0.26508427,0.041727103,0.36013436,0.28738502,-0.4037045,-0.22742069,-0.12587085,0.10013536,-0.23128782,-0.83373415,-0.46133396
2008-05-02,-0.93918616,-0.7388157,0.07229169,0.55558324,0.2571147,-0.40855718,-0.26940867,-0.5224178,0.2309241,0.24024409,-0.34375262,0.034685284,-0.2398636,-0.217129,-0.8424223,1.0740383,0.342531,-0.62305653,-1.1534141,0.011600893,1.0237421,0.31490803,0.12226025,0.25852805,0.3170518,-0.5676415,-0.30465406,0.008734362,0.1899886,-0.29685986,-0.7465124,-0.6729666
2008-05-05,-0.82133025,-0.8735105,0.095477745,0.5780935,0.14853428,-0.46158528,-0.13023846,-0.5594889,0.30779058,0.2512483,-0.34833655,0.050094046,-0.27898544,-0.17745706,-0.61951923,1.0291884,0.5161157,-0.43586156,-1.2598861,0.025256779,1.0801032,0.42301187,0.11794595,0.12575763,0.24973965,-0.71111184,-0.39642414,0.14346164,0.09422811,-0.2586099,-0.52629054,-0.8288852
2008-05-06,-0.83509123,-0.6938253,-0.039490588,0.4831342,0.2693187,-0.49895757,-0.27299172,-0.6231412,0.20879209,0.35855672,-0.3828428,0.17463715,-0.26226997,-0.29550418,-0.8153168,1.0724326,0.34846163,-0.653952,-1.0455697,-0.020945363,0.9643948,0.2919566,0.081314944,0.3115493,0.2696186,-0.51878333,-0.31258014,-0.080005445,0.16280182,-0.23009476,-0.724108,-0.60998785
2008-05-07,-1.0060085,-0.59440225,-0.059597485,0.26911566,0.20602532,-0.58131385,-0.35326484,-0.5797077,0.24854666,0.42482594,-0.69339395,0.36168325,-0.08459204,-0.4147737,-0.6468147,1.0860438,0.7201447,-0.3408306,-1.0750961,-0.07154377,0.7900155,0.5650203,0.0012156293,0.21594019,0.11068121,-0.40213868,-0.35575733,-0.16674215,-0.10765296,-0.1755441,-0.71791166,-0.76893306
2008-05-08,-0.8214343,-0.68211865,0.26297024,0.43956953,0.29916665,-0.51169366,-0.40443635,-0.6908244,0.28927007,0.42784557,-0.4705484,0.3576314,-0.41215464,-0.578437,-0.6666476,0.6732476,0.5247223,-0.5945222,-1.0732738,0.009159997,1.0372821,0.4898586,0.33447015,0.1042957,0.23469567,-0.7219381,-0.21877107,0.057876334,0.21767695,-0.25818816,-0.7255861,-0.73230386
2008-05-09,-0.7222714,-0.74613637,0.26996157,0.50125843,0.3340938,-0.54002464,-0.2382223,-0.7456843,0.38339692,0.4023474,-0.6196219,0.4395827,-0.40422422,-0.47608998,-0.5385663,0.55865395,0.7210449,-0.4807034,-1.2081662,-0.06609383,1.0794126,0.4902401,0.20588222,0.10380852,0.14948772,-0.8214157,-0.20497692,0.09778333,0.0804811,-0.09456517,-0.5556524,-0.78053665
2008-05-12,-0.5559924,-0.71310574,0.048009112,0.49319345,0.36956152,-0.49693108,-0.15128627,-0.6354554,0.26542863,0.41652796,-0.5142338,0.34396031,-0.32515138,-0.391264,-0.72453654,0.7948091,0.45707405,-0.68374914,-1.108967,-0.11329721,0.9393772,0.25300533,0.15531829,0.25319523,0.17126337,-0.6131,-0.1474741,-0.11677103,0.11434672,-0.059699014,-0.53350115,-0.5050688
2008-05-13,-0.93199056,-0.7916268,0.33130231,0.5783075,0.31213638,-0.46342713,-0.38043126,-0.65596086,0.2201477,0.30390233,-0.36881208,0.33626658,-0.23981316,-0.50122005,-0.7279074,0.89526916,0.43984187,-0.5876701,-1.0737586,-0.019059852,1.0137951,0.3981619,0.1910403,0.32889754,0.28765234,-0.606015,-0.14782065,-0.08676761,0.19458476,-0.23468083,-0.6889288,-0.6492243
2008-05-14,-0.8796812,-0.79010963,0.24988125,0.5467222,0.30585867,-0.49041563,-0.39056203,-0.72486436,0.284095,0.38381025,-0.39634117,0.2934748,-0.27283138,-0.49013877,-0.75204736,0.92756486,0.43883437,-0.59455,-0.9382006,-0.00023452193,0.9641479,0.28001988,0.135297,0.3593226,0.28247076,-0.53429157,-0.16940524,-0.047996476,0.18395087,-0.23969804,-0.71796167,-0.721195
2008-05-15,-0.774581,-0.73894656,0.08215777,0.52490026,0.3538998,-0.48479235,-0.27427998,-0.70234907,0.32103643,0.42605817,-0.44841006,0.3436585,-0.30748934,-0.4241842,-0.8200484,0.93685937,0.39735627,-0.65616584,-0.92599,-0.062873736,0.92735374,0.1675247,0.103686444,0.39568883,0.2532258,-0.53380686,-0.1728507,-0.092885286,0.15548259,-0.1573363,-0.6804669,-0.5696715
2008-05-16,-0.8782061,-0.90736496,0.27630067,0.43987083,0.28268713,-0.3546781,-0.34625196,-0.65324914,0.34956753,0.35487807,-0.3116648,0.24652874,-0.26481122,-0.4030915,-0.7949722,1.0473065,0.40499878,-0.61109096,-0.92642796,0.007726185,0.9057719,0.20602779,0.20995936,0.30011922,0.31595716,-0.5765947,-0.24445637,0.029208258,0.12494808,-0.30882144,-0.64238894,-0.7879648
2008-05-19,-0.7227057,-0.9946476,0.36931327,0.58804655,0.2735001,-0.4863456,-0.34301326,-0.78727543,0.19489849,0.31159517,-0.3357726,0.20002538,-0.22259302,-0.36339596,-0.6626232,1.0144345,0.4210508,-0.6359819,-1.102799,-0.010606609,1.048406,0.28528672,0.10034845,0.27580452,0.2727361,-0.6536549,-0.21183017,0.0128695965,0.10312922,-0.19890486,-0.5031321,-0.81123185
2008-05-20,-0.79156756,-0.92715675,0.42813525,0.5043965,0.33979416,-0.32553178,-0.41544738,-0.7206654,0.16894898,0.34585,-0.5801499,0.35705203,-0.0288455,-0.46897778,-0.5328036,0.9394418,0.5739852,-0.53436655,-1.1953577,-0.05758594,0.8524151,0.40100485,0.07362942,0.269875,0.16335219,-0.5446813,-0.11080629,-0.1423946,-0.06629973,-0.1190578,-0.5676303,-0.84231055
2008-05-21,-0.8005348,-0.7698236,0.48271334,0.2789229,0.5437097,-0.46917647,-0.6837734,-0.7855306,-0.02021823,0.443553,-0.8116422,0.5761235,0.016711019,-0.6585958,-0.52154046,0.7883285,0.5699563,-0.7191664,-1.0157367,-0.1236241,0.6805838,0.53668106,0.048161335,0.23597093,0.104160205,-0.41322455,-0.007247803,-0.3375153,-0.10643928,-0.08796815,-0.59903914,-0.75163853
2008-05-22,-0.5745845,-0.92627114,0.6659749,0.43249488,0.6150474,-0.37296897,-0.5323037,-0.82983303,0.123363115,0.4135474,-0.592072,0.57742846,-0.32962042,-0.5910986,-0.5346015,0.48479772,0.45403993,-0.84682375,-1.101734,-0.059850305,0.9724077,0.4073739,0.32292446,0.12867665,0.2110318,-0.74927115,-0.002812637,-0.036291353,0.106733486,-0.19038422,-0.45826533,-0.7166351
2008-05-23,-0.40109217,-0.89815724,0.5647423,0.33144492,0.5775126,-0.5680548,-0.4178106,-0.87422645,0.1344307,0.40039244,-0.77669734,0.6227758,-0.31632,-0.5101465,-0.30947992,0.54076034,0.61609143,-0.7097752,-1.1753997,-0.064111516,0.9232372,0.5374446,0.22737828,-0.023201808,0.09571472,-0.7325994,-0.10755261,-0.034999326,-0.11280003,-0.12111959,-0.18886769,-0.836216
2008-05-27,-0.24691959,-0.8947227,0.576122,0.23462552,0.6547857,-0.53170973,-0.43265775,-0.7924244,0.19084626,0.46278977,-0.6601128,0.7035867,-0.52453715,-0.57154566,-0.43303192,0.39714396,0.3744353,-0.9051568,-1.0479422,0.019606039,0.9366375,0.4305781,0.4291985,-0.13420318,0.15293664,-0.83856297,-0.02963159,0.08009913,-0.03423933,-0.23268647,-0.15645556,-0.7271122
2008-05-28,-0.5433734,-0.95371705,0.6242936,0.2894759,0.58223116,-0.38370156,-0.47689834,-0.6401901,0.21803057,0.39727896,-0.63750637,0.59515345,-0.39637595,-0.6083957,-0.70760465,0.5054097,0.30771163,-0.99173987,-1.0782155,0.024497889,0.9587467,0.3863647,0.43496215,-0.014752805,0.26838893,-0.83999765,0.029874178,0.09152999,0.0539063,-0.35339198,-0.41666853,-0.72632
2008-05-29,-0.7680787,-0.9092897,0.2927252,0.3429254,0.39993823,-0.37684655,-0.3322123,-0.62669456,0.4063452,0.4173746,-0.47866282,0.29580095,-0.43817955,-0.43831033,-1.0452957,0.7596346,0.37969428,-0.88606864,-0.8931713,0.012379125,0.92741346,0.13730963,0.33199295,0.1929902,0.3382375,-0.76221275,-0.10261117,0.18918853,0.14321202,-0.3530855,-0.63388205,-0.7894137
2008-05-30,-0.934057,-0.9413982,0.40100917,0.39924282,0.34073666,-0.28716215,-0.34389633,-0.53149605,0.48286355,0.36734238,-0.37150338,0.21234328,-0.40773967,-0.38298196,-1.0138154,0.90514135,0.42038244,-0.7183349,-0.96925294,0.06622654,0.99971676,0.1902509,0.4204151,0.16565536,0.32145774,-0.761331,-0.202928,0.3006564,0.20559798,-0.50958633,-0.630898,-0.85314524
2008-06-02,-0.62215924,-1.0581744,0.40591842,0.1594976,0.36004227,-0.659133,-0.45076776,-0.75922304,0.37490618,0.4286082,-0.54977024,0.5457627,-0.4100371,-0.55138457,-0.5361376,0.77224255,0.6014858,-0.6198277,-0.90217793,0.07765037,0.766299,0.38479686,0.282024,-0.10374174,0.20989764,-0.7608686,-0.18890594,0.27785173,-0.12483415,-0.30080214,-0.3224169,-1.0904319
2008-06-03,-0.90324664,-0.82966554,0.6037819,-0.0147199705,0.53689706,-0.38349855,-0.7214732,-0.66028464,0.24927405,0.35579827,-0.590866,0.53777593,-0.36271635,-0.693124,-0.81611073,0.6316216,0.3512295,-0.9450508,-0.6793345,0.070359364,0.68932366,0.32802334,0.42956755,-0.023933493,0.30908,-0.59224397,-0.04568119,0.16891809,0.020463089,-0.51822287,-0.67078716,-1.057672
2008-06-04,-0.7574038,-0.92488873,0.7511816,-0.0013617277,0.6009043,-0.39854026,-0.713155,-0.67313194,0.25730723,0.3215148,-0.48815492,0.4906428,-0.45612046,-0.6560177,-0.7185772,0.5576056,0.30966085,-1.0080292,-0.71503115,0.12788796,0.7738782,0.36909497,0.5551338,-0.16488838,0.34805584,-0.6994193,-0.07485682,0.27522218,0.0578345,-0.5995712,-0.53333455,-1.0455978
2008-06-05,-0.63817996,-0.60032934,0.10518089,0.19150934,0.72622126,-0.5367915,-0.5002637,-0.65488374,0.1748006,0.6161696,-0.75798243,0.64160496,-0.39397913,-0.59140474,-0.8155925,0.6021662,0.13258986,-1.061707,-0.6707649,-0.085146874,0.7574757,0.21417119,0.35003415,0.20263596,0.28965622,-0.47430238,-0.048572548,-0.12268687,0.057058625,-0.22446646,-0.66102403,-0.3941293
2008-06-06,-0.721128,-0.81339544,0.4711885,0.12574948,0.5776752,-0.691323,-0.57184166,-0.69609356,0.12480875,0.43549928,-0.7234127,0.64610505,-0.25495386,-0.5723872,-0.45790684,0.87462735,0.47163975,-0.78938323,-0.90991104,0.03332847,0.7775727,0.6168272,0.3574013,-0.007167101,0.21704349,-0.5467475,-0.21936935,-0.027255163,-0.13336112,-0.3164959,-0.3155866,-0.75328064
2008-06-09,-0.64667857,-0.8133383,0.60141015,-0.09588811,0.7064813,-0.5342001,-0.6430851,-0.5750434,0.35211223,0.43802267,-0.43119746,0.74122125,-0.5357356,-0.7411192,-0.6660995,0.5791068,0.32476974,-1.0076756,-0.68421483,0.13284521,0.80165976,0.3907407,0.7380291,-0.171328,0.37668687,-0.67850834,-0.16553663,0.19370018,0.18420629,-0.5414883,-0.45993337,-0.7042786
2008-06-10,-0.7862512,-0.7830538,0.5976369,-0.12793699,0.6790688,-0.47561032,-0.64827836,-0.4827782,0.38074178,0.42961335,-0.43788525,0.68847823,-0.5291884,-0.7196329,-0.7244557,0.6390623,0.33714983,-0.9413373,-0.65351784,0.17956933,0.78181356,0.4092449,0.78597677,-0.18770441,0.42134708,-0.613823,-0.21454658,0.22799735,0.16359754,-0.6272894,-0.49247888,-0.7551353
2008-06-11,-0.8375591,-0.66792595,0.4326375,-0.046571303,0.60010594,-0.53686684,-0.54687124,-0.48067665,0.3761217,0.44357368,-0.6958582,0.7188608,-0.44401813,-0.6706731,-0.67583954,0.657272,0.43638647,-0.8204022,-0.7244681,0.106567405,0.7428577,0.46702614,0.61836433,-0.07392526,0.36433718,-0.51528835,-0.1870325,0.11572769,0.0077441083,-0.5133328,-0.47921064,-0.76761353
2008-06-12,-0.6897953,-0.66997457,0.5778159,0.01615253,0.69252646,-0.5207631,-0.5519172,-0.5252711,0.28197336,0.34365845,-0.5597266,0.5738005,-0.5876448,-0.6509009,-0.79501635,0.5534606,0.2260688,-1.0722035,-0.7299646,0.108309165,0.86503035,0.3736081,0.74508435,-0.09512532,0.40697914,-0.604711,-0.12918527,0.17104243,0.114221655,-0.5826436,-0.40239257,-0.7208917
2008-06-13,-0.5495523,-0.47359392,0.08511272,-0.24671134,0.48620364,-0.4425658,-0.35083404,-0.3041757,0.56725925,0.53790605,-0.66741747,0.4391284,-0.5415391,-0.7094817,-0.9618363,0.6364863,0.1558925,-0.8818945,-0.43119976,0.043749686,0.4643736,0.067721255,0.73986214,-0.21326706,0.33347604,-0.48369393,-0.09265588,0.26057184,-0.053592652,-0.5479064,-0.6182243,-0.73482716
2008-06-16,-0.6463906,-0.810582,0.5065831,-0.31009784,0.36145583,-0.29134572,-0.41637912,-0.26904684,0.64000046,0.34677345,-0.32449496,0.11135846,-0.4926116,-0.6780538,-0.89240044,0.7471118,0.49123126,-0.69103366,-0.58096266,0.11573776,0.59406734,0.27456877,0.88693494,-0.42836338,0.40736464,-0.62937397,-0.19691676,0.3807859,-0.0121038165,-0.7864636,-0.4821823,-1.1347009
2008-06-17,-0.6967115,-0.7077184,0.4460726,-0.33602858,0.362555,-0.2924124,-0.35983452,-0.31354904,0.6236143,0.36694133,-0.53988564,0.12870426,-0.43694764,-0.6532489,-0.8250596,0.722481,0.5770902,-0.63237613,-0.5631269,0.06250554,0.54168206,0.35410547,0.8121633,-0.37389797,0.36476293,-0.5957133,-0.21375018,0.28429145,-0.19155069,-0.6923481,-0.47766897,-1.1531346
2008-06-18,-0.85390896,-0.73606867,0.56618255,-0.3420995,0.45105046,-0.29516506,-0.6438438,-0.38766906,0.46750993,0.40897614,-0.57725984,0.20160164,-0.33959636,-0.67881083,-0.7515961,0.819065,0.5060571,-0.66809326,-0.46118346,0.09089033,0.48760116,0.41385576,0.7793315,-0.33390808,0.36013755,-0.43154815,-0.2549562,0.23817533,-0.15148771,-0.7386695,-0.56459796,-1.1552696
2008-06-19,-0.9089336,-0.6180419,0.46504456,-0.40060237,0.51419455,-0.24188067,-0.6494707,-0.30865583,0.47159076,0.39156398,-0.41004023,0.19592863,-0.4975587,-0.67032605,-1.0455014,0.79129016,0.3411589,-0.8384145,-0.36809555,0.09265856,0.52592796,0.2544475,0.915641,-0.28026497,0.42073596,-0.40735728,-0.25733522,0.26825735,0.06314651,-0.877368,-0.7264716,-1.0119246
2008-06-20,-0.86161566,-0.6695198,0.5330713,-0.063815065,0.571422,-0.5097323,-0.634045,-0.5583696,0.18529102,0.36606714,-0.8151641,0.35361195,-0.33944672,-0.6398366,-0.6783114,0.6805854,0.50470066,-0.7846973,-0.6932901,0.0584801,0.7023219,0.51809394,0.5607945,-0.14238748,0.3451169,-0.40454906,-0.22715417,0.08002168,-0.095602766,-0.541733,-0.5004829,-0.97955525
2008-06-23,-0.6555704,-0.7927793,0.6397676,-0.07438983,0.59442955,-0.44734597,-0.4892274,-0.49306792,0.4051563,0.32788408,-0.5241315,0.23789468,-0.6280049,-0.58486485,-0.6884091,0.5068629,0.42976886,-0.8449238,-0.6774937,0.16705441,0.83146036,0.39971957,0.81854916,-0.37597597,0.40972877,-0.6719509,-0.25555056,0.4189601,0.07919415,-0.68260264,-0.35073677,-0.9883325
2008-06-24,-0.75852376,-0.7110889,0.6099642,-0.1771085,0.56909233,-0.44752765,-0.5960017,-0.48037696,0.2770816,0.3208997,-0.57710856,0.20827354,-0.5338082,-0.6702195,-0.78685707,0.57777095,0.41683465,-0.89874244,-0.61235416,0.11876997,0.7445881,0.43812442,0.79332536,-0.3092386,0.4390228,-0.53076065,-0.22485955,0.25614607,0.027216166,-0.67637074,-0.4724987,-1.0225638
2008-06-25,-0.86021215,-0.56691283,0.3863428,-0.22669145,0.62611204,-0.42003536,-0.6091284,-0.44242027,0.39926332,0.45592853,-0.55637443,0.2113795,-0.6258559,-0.6716757,-0.9789173,0.5224972,0.4293229,-0.8442033,-0.4215969,0.14606676,0.667165,0.2831766,0.7840187,-0.20543154,0.46412444,-0.439505,-0.21052893,0.2450212,0.10887479,-0.676927,-0.6681144,-0.9229522
